"RecordIDS","AverageConsistency","Latitude-Consistency","Latitude-Values","Country-Consistency","Country-Values","Magnitude-Consistency","Magnitude-Values","Depth-Consistency","Depth-Values","Time-Consistency","Time-Values","Date-Consistency","Date-Values","TotalDamages-Consistency","TotalDamages-Values","Longitude-Consistency","Longitude-Values","Deaths-Consistency","Deaths-Values"
"File1_5796+File2_22055+File3_1181","0.9166666666666666","1.0","{82.586|82.5864|82.5864}","1.0","{CHINA|CHINA|CHINA}","1.0","{6.9|6.9|7.0}","1.0","{10.0|10.0}","0.6666666666666666","{09:19:06|09:19:49|21:19}","0.6666666666666666","{2014-02-12|2014-02-12|2014-02-11}","1.0","{174.0}","1.0","{35.905|35.9053|35.9053}",,
"File1_5270+File2_17499","0.8571428571428571","1.0","{-112.615|-112.615}","0.0","{USA|UNITED STATES}","1.0","{5.6|5.6}","1.0","{13.0|12.9}","1.0","{04:08:37|04:08:37}","1.0","{2005-07-26|2005-07-26}",,,"1.0","{45.365|45.365}",,
"File1_4982+File2_14888","0.8571428571428571","1.0","{97.453|97.453}","0.0","{AUSTRALIA|COCOS (KEELING) ISLANDS}","1.0","{7.9|7.9}","1.0","{10.0|10.0}","1.0","{14:44:13|14:44:13}","1.0","{2000-06-18|2000-06-18}",,,"1.0","{-13.802|-13.802}",,
"File1_4639+File2_9850","1.0","1.0","{139.252|139.252}","1.0","{JAPAN|JAPAN}","1.0","{6.4|6.4}","1.0","{14.0|14.2}","1.0","{06:53:39|06:53:40}","1.0","{1990-02-20|1990-02-20}",,,"1.0","{34.706|34.706}",,
"File1_4110+File2_2406","0.5714285714285714","1.0","{152.9|152.932}","0.0","{SOLOMON SEA|PAPUA NEW GUINEA}","0.0","{7.1|7.5}","0.0","{10.0|20.0}","1.0","{23:44:05|23:44:09}","1.0","{1972-08-17|1972-08-17}",,,"1.0","{-6.0|-6.05}",,
"File1_4378+File2_6055","0.8571428571428571","1.0","{25.227|25.227}","1.0","{GREECE|GREECE}","0.0","{7.5|7.2}","1.0","{10.0|10.0}","1.0","{14:10:50|14:10:51}","1.0","{1981-12-19|1981-12-19}",,,"1.0","{39.243|39.243}",,
"File1_4647+File2_9910","0.8571428571428571","1.0","{147.596|147.596}","0.0","{USA TERRITORY|NORTHERN MARIANA ISLANDS}","1.0","{7.5|7.6}","1.0","{11.0|11.4}","1.0","{21:12:35|21:12:36}","1.0","{1990-04-05|1990-04-05}",,,"1.0","{15.125|15.125}",,
"File1_4805+File2_11977","1.0","1.0","{171.658|171.658}","1.0","{NEW ZEALAND|NEW ZEALAND}","1.0","{6.8|6.8}","1.0","{14.0|13.6}","1.0","{03:25:15|03:25:16}","1.0","{1994-06-18|1994-06-18}",,,"1.0","{-42.963|-42.963}",,
"File1_4477+File2_7379+File3_0342","0.9629629629629631","1.0","{-68.467|-68.467|-68.467}","1.0","{ARGENTINA|ARGENTINA|ARGENTINA}","0.6666666666666666","{6.9|6.2|7.0}","1.0","{5.0|5.0}","1.0","{03:06:57|03:06:58|03:06}","1.0","{1985-01-26|1985-01-26|1985-01-26}","1.0","{5.0}","1.0","{-33.053|-33.053|-33.053}","1.0","{6.0|6.0}"
"File1_4145+File2_2970","1.0","1.0","{166.9|166.896}","1.0","{VANUATU|VANUATU}","1.0","{7.2|7.2}","1.0","{47.0|47.0}","1.0","{00:19:31|00:19:31}","1.0","{1973-12-29|1973-12-29}",,,"1.0","{-15.12|-15.117}",,
"File1_5091+File2_16140+File2_16141+File3_0848","0.8214285714285714","0.75","{118.524|118.524|-170.253|118.524}","0.75","{INDONESIA|INDONESIA|UNITED STATES|INDONESIA}","1.0","{5.5|5.5|5.5|6.0}","1.0","{33.0|33.0|33.0}","0.75","{00:08:22|00:08:23|07:08:12|00:08}","0.75","{2003-01-23|2003-01-23|2003-01-26|2003-01-23}",,,"0.75","{-8.807|-8.807|52.242|-8.807}",,
"File1_5915+File2_23227+File3_1274","0.9629629629629629","1.0","{94.569|94.569|94.569}","0.6666666666666666","{MYANMAR (BURMA)|MYANMAR|MYANMAR}","1.0","{6.8|6.8|7.0}","1.0","{82.0|82.0}","1.0","{10:34:58|10:34:55}","1.0","{2016-08-24|2016-08-24|2016-08-24}","1.0","{10.0|10.0}","1.0","{20.923|20.9228|20.923}","1.0","{4.0|4.0}"
"File1_4344+File2_5622+File3_0323","1.0","1.0","{-80.017|-80.017|-80.017}","1.0","{ECUADOR|ECUADOR|ECUADOR}","1.0","{5.6|5.6|6.0}","1.0","{55.0|55.0}","1.0","{15:07:52|15:07:53|15:07}","1.0","{1980-08-18|1980-08-18|1980-08-18}","1.0","{5.0}","1.0","{-1.948|-1.948|-1.948}","1.0","{8.0|8.0}"
"File2_15743+File3_0815","1.0","1.0","{70.438|70.438}","1.0","{AFGHANISTAN|AFGHANISTAN}","1.0","{6.3|6.0}","1.0","{209.0}","1.0","{12:08:08|12:10}","1.0","{2002-03-03|2002-03-03}",,,"1.0","{36.429|36.429}","1.0","{150.0}"
